cbsa,NAME,pop_b03001,mexican_share,all,tagged,mexican,cbp_restaurants,osm_coverage,tagged_coverage
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",516994,0.025288,499.0,435.0,35.0,674.0,0.740356,0.645401
37900,"Peoria, IL Metro Area",365773,0.028447,362.0,307.0,32.0,536.0,0.675373,0.572761
37940,"Peru, IN Micro Area",35772,0.020547,35.0,30.0,4.0,41.0,0.853659,0.731707
37950,"Petoskey, MI Micro Area",34159,0.009778,62.0,33.0,1.0,78.0,0.794872,0.423077
38060,"Phoenix-Mesa-Chandler, AZ Metro Area",4941206,0.261656,6146.0,5270.0,988.0,6956.0,0.883554,0.757619
38100,"Picayune, MS Micro Area",56781,0.009915,36.0,17.0,1.0,68.0,0.529412,0.25
38210,"Pikeville, KY Micro Area",92808,0.005883,73.0,68.0,10.0,122.0,0.598361,0.557377
38220,"Pine Bluff, AR Micro Area",73271,0.020335,52.0,45.0,5.0,86.0,0.604651,0.523256
38260,"Pittsburg, KS Micro Area",38963,0.048123,35.0,27.0,4.0,59.0,0.59322,0.457627
38340,"Pittsfield, MA Metro Area",128047,0.006201,145.0,111.0,9.0,285.0,0.508772,0.389474
38380,"Plainview, TX Micro Area",37541,0.512213,42.0,35.0,7.0,43.0,0.976744,0.813953
38460,"Plattsburgh, NY Micro Area",78961,0.006586,83.0,68.0,6.0,115.0,0.721739,0.591304
38500,"Plymouth, IN Micro Area",46225,0.084478,41.0,34.0,2.0,68.0,0.602941,0.5
38540,"Pocatello, ID Metro Area",88457,0.073889,89.0,69.0,7.0,122.0,0.729508,0.565574
38700,"Pontiac, IL Micro Area",35659,0.036428,34.0,29.0,3.0,53.0,0.641509,0.54717
38860,"Portland-South Portland, ME Metro Area",557764,0.006081,842.0,617.0,33.0,1163.0,0.72399,0.530525
38920,"Port Lavaca, TX Micro Area",19921,0.412831,27.0,26.0,9.0,42.0,0.642857,0.619048
38940,"Port St. Lucie, FL Metro Area",506701,0.041816,273.0,207.0,20.0,738.0,0.369919,0.280488
39150,"Prescott Valley-Prescott, AZ Metro Area",241656,0.124681,269.0,206.0,34.0,386.0,0.696891,0.533679
39220,"Price, UT Micro Area",20446,0.107503,37.0,27.0,3.0,31.0,1.193548,0.870968
39340,"Provo-Orem-Lehi, UT Metro Area",695895,0.081189,888.0,764.0,125.0,821.0,1.081608,0.930572
