cbsa,NAME,pop_total,pop_b03001,mexican_origin,median_hh_income,mexican_share
24860,"Greenville-Anderson-Greer, SC Metro Area",945301,945301,33028,69016,0.034939135788494884
24900,"Greenwood, MS Micro Area",37260,37260,604,37718,0.016210413311862588
24940,"Greenwood, SC Micro Area",93681,93681,3099,51044,0.033080347135491725
24980,"Grenada, MS Micro Area",31050,31050,63,46918,0.002028985507246377
25020,"Guayama, PR Metro Area",67171,67171,306,20430,0.004555537359872564
25060,"Gulfport-Biloxi, MS Metro Area",418452,418452,8593,61266,0.02053521072906809
25100,"Guymon, OK Micro Area",20880,20880,8465,59275,0.405411877394636
25180,"Hagerstown-Martinsburg, MD-WV Metro Area",298525,298525,5077,75473,0.017006950841638054
25200,"Hailey, ID Micro Area",31010,31010,5651,81389,0.1822315382134795
25220,"Hammond, LA Metro Area",135218,135218,2910,57256,0.021520803443328552
25260,"Hanford-Corcoran, CA Metro Area",152830,152830,81398,68750,0.5326048550677223
25300,"Hannibal, MO Micro Area",38887,38887,296,63425,0.007611798287345386
25420,"Harrisburg-Carlisle, PA Metro Area",597894,597894,8320,79281,0.013915510107142738
25460,"Harrison, AR Micro Area",45071,45071,768,53775,0.017039781677797253
25500,"Harrisonburg, VA Metro Area",136231,136231,5980,72145,0.04389602953806403
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1144012,1144012,11151,92823,0.009747275378230297
25580,"Hastings, NE Micro Area",40503,40503,2918,67077,0.07204404612004049
25620,"Hattiesburg, MS Metro Area",154567,154567,2692,59008,0.017416395478983226
25700,"Hays, KS Micro Area",28870,28870,1564,59889,0.05417388292344995
25720,"Heber, UT Micro Area",78517,78517,7339,125583,0.09347020390488683
25740,"Helena, MT Metro Area",92391,92391,2022,74040,0.021885248563171738
25770,"Hemlock Farms, PA Micro Area",59691,59691,489,79318,0.00819218977735337
25775,"Henderson, KY Micro Area",57366,57366,1146,58404,0.019976989854617717
25780,"Henderson, NC Micro Area",42361,42361,2785,46943,0.06574443473950095
25820,"Hereford, TX Micro Area",18487,18487,13030,54114,0.7048196029642452
25840,"Hermiston-Pendleton, OR Micro Area",92336,92336,24268,69037,0.2628227343614625
25850,"Hermitage, PA Micro Area",109852,109852,487,60614,0.004433237446746532
25860,"Hickory-Lenoir-Morganton, NC Metro Area",366972,366972,16679,60255,0.045450334085434314
25880,"Hillsdale, MI Micro Area",45658,45658,881,60869,0.019295632747820753
25900,"Hilo-Kailua, HI Micro Area",203684,203684,6966,77215,0.034200035348873746
25940,"Hilton Head Island-Bluffton-Port Royal, SC Metro Area",222781,222781,14576,81015,0.06542748259501484
25980,"Hinesville, GA Metro Area",84338,84338,3992,60329,0.04733334914273518
26020,"Hobbs, NM Micro Area",73154,73154,40324,68750,0.5512207124695847
26090,"Holland, MI Micro Area",120913,120913,8145,80255,0.06736248376932175
26140,"Homosassa Springs, FL Metro Area",158693,158693,1668,55355,0.010510860592464696
26220,"Hood River, OR Micro Area",23958,23958,6942,82095,0.2897570748810418
26300,"Hot Springs, AR Metro Area",100062,100062,5213,55409,0.052097699426355656
26340,"Houghton, MI Micro Area",39534,39534,426,56403,0.010775534982546669
26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area",204032,204032,6391,64269,0.031323517879548304
26420,"Houston-Pasadena-The Woodlands, TX Metro Area",7274714,7274714,1902284,80458,0.2614926167544181
26460,"Hudson, NY Micro Area",61245,61245,729,83619,0.011903012490815577
26500,"Huntingdon, PA Micro Area",43844,43844,189,65429,0.004310738071343856
26540,"Huntington, IN Micro Area",36757,36757,717,62734,0.019506488560002175
26580,"Huntington-Ashland, WV-KY-OH Metro Area",372801,372801,2787,58483,0.007475838315884346
26620,"Huntsville, AL Metro Area",504712,504712,18352,83529,0.036361330818367704
26660,"Huntsville, TX Micro Area",78292,78292,13834,49862,0.17669749144229296
26700,"Huron, SD Micro Area",19279,19279,1220,63082,0.0632812905233674
26740,"Hutchinson, KS Micro Area",61693,61693,5043,60498,0.0817434717066766
26780,"Hutchinson, MN Micro Area",36771,36771,2261,78468,0.061488673139158574
26820,"Idaho Falls, ID Metro Area",161944,161944,18389,77300,0.11355159808328805
26860,"Indiana, PA Micro Area",83213,83213,500,58739,0.006008676528907742
26900,"Indianapolis-Carmel-Greenwood, IN Metro Area",2106327,2106327,113113,77065,0.05370153827017363
26980,"Iowa City, IA Metro Area",177420,177420,6815,74142,0.03841167850298726
27020,"Iron Mountain, MI-WI Micro Area",30557,30557,274,61960,0.008966848839873025
27060,"Ithaca, NY Metro Area",102879,102879,1317,73012,0.012801446359315313
27100,"Jackson, MI Metro Area",160187,160187,4952,65004,0.030913869415121076
27140,"Jackson, MS Metro Area",615908,615908,11190,60489,0.0181682978626678
27180,"Jackson, TN Metro Area",180844,180844,5815,58740,0.03215478533985092
27220,"Jackson, WY-ID Micro Area",35459,35459,3998,106679,0.11274993654643391
27260,"Jacksonville, FL Metro Area",1645707,1645707,30207,77013,0.018355029175910413
27300,"Jacksonville, IL Micro Area",37468,37468,709,66168,0.0189228141347283
27340,"Jacksonville, NC Metro Area",208537,208537,11709,64568,0.056148309412718124
27380,"Jacksonville, TX Micro Area",51143,51143,11359,59830,0.22210273155661575
27420,"Jamestown, ND Micro Area",21525,21525,250,60172,0.011614401858304297
27460,"Jamestown-Dunkirk, NY Micro Area",126329,126329,740,56507,0.005857720713375393
27500,"Janesville-Beloit, WI Metro Area",163944,163944,13129,74390,0.08008222319816523
27540,"Jasper, IN Micro Area",43563,43563,1617,71918,0.037118655739962814
27600,"Jefferson, GA Micro Area",80640,80640,3600,85012,0.044642857142857144
27620,"Jefferson City, MO Metro Area",150147,150147,3667,72425,0.02442273238892552
27700,"Jesup, GA Micro Area",30519,30519,1157,49562,0.037910809659556344
27740,"Johnson City, TN Metro Area",208934,208934,3964,56096,0.018972498492346866
27780,"Johnstown, PA Metro Area",132355,132355,765,56292,0.005779910090287484
27860,"Jonesboro, AR Metro Area",134837,134837,6509,55478,0.04827310011347034
27900,"Joplin, MO-KS Metro Area",202258,202258,8059,60146,0.03984514827596436
27940,"Juneau, AK Micro Area",31969,31969,1117,100513,0.03494009822015077
27980,"Kahului-Wailuku, HI Metro Area",164675,164675,7635,95049,0.04636405040230757
28020,"Kalamazoo-Portage, MI Metro Area",261437,261437,9832,70525,0.037607530686169136
28060,"Kalispell, MT Micro Area",108445,108445,2229,71327,0.020554197980543133
28100,"Kankakee, IL Metro Area",106833,106833,11195,68325,0.10478971853266313
28140,"Kansas City, MO-KS Metro Area",2202006,2202006,165463,81927,0.07514193875947658
28180,"Kapaa, HI Micro Area",73610,73610,2013,93612,0.027346827876647193
28260,"Kearney, NE Micro Area",57020,57020,4240,75141,0.07435987372851631
28300,"Keene, NH Micro Area",76945,76945,316,81001,0.00410682955357723
28340,"Kendallville, IN Micro Area",47417,47417,4656,70908,0.09819263133475335
28380,"Kennett, MO Micro Area",27795,27795,2006,47368,0.07217125382262997
28420,"Kennewick-Richland, WA Metro Area",307900,307900,94714,85881,0.30761286131860993
28450,"Kenosha, WI Metro Area",168413,168413,18296,79412,0.10863769423975583
28500,"Kerrville, TX Micro Area",53166,53166,12059,67927,0.22681789113343115
28540,"Ketchikan, AK Micro Area",13870,13870,400,89155,0.02883922134102379
28580,"Key West-Key Largo, FL Micro Area",81840,81840,1539,82430,0.018804985337243403
28620,"Kill Devil Hills, NC Micro Area",37534,37534,1274,81214,0.033942558746736295
28660,"Killeen-Temple, TX Metro Area",485850,485850,78684,67203,0.16195121951219513
28680,"Kingsland, GA Micro Area",56036,56036,1187,72399,0.02118281105003926
28700,"Kingsport-Bristol, TN-VA Metro Area",309580,309580,4011,55948,0.012956263324504167
28740,"Kingston, NY Metro Area",182109,182109,4312,81804,0.023678126836125617
28780,"Kingsville, TX Micro Area",30629,30629,20054,57612,0.6547389728688497
28820,"Kinston, NC Micro Area",54917,54917,3377,44795,0.061492798222772545
28860,"Kirksville, MO Micro Area",29268,29268,400,56468,0.013666803334700014
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area",700984,700984,29133,96912,0.041560149732376206
28900,"Klamath Falls, OR Micro Area",69812,69812,7980,59353,0.11430699593193147
28940,"Knoxville, TN Metro Area",919553,919553,25283,69734,0.027494880664844765
29020,"Kokomo, IN Metro Area",83610,83610,2055,62496,0.024578399712952996
29060,"Laconia, NH Micro Area",64300,64300,414,87983,0.006438569206842924
29100,"La Crosse-Onalaska, WI-MN Metro Area",169945,169945,2041,71009,0.012009767866074317
29180,"Lafayette, LA Metro Area",410883,410883,7797,60910,0.018976204905045962
29200,"Lafayette-West Lafayette, IN Metro Area",225019,225019,14795,59895,0.06575000333305188
29260,"La Grande, OR Micro Area",26192,26192,1038,64212,0.03963042150274893
29300,"LaGrange, GA-AL Micro Area",104271,104271,2293,53959,0.021990774040720813
29340,"Lake Charles, LA Metro Area",245973,245973,5277,67010,0.02145357417277506
29380,"Lake City, FL Micro Area",70755,70755,1183,55070,0.016719666454667513
29420,"Lake Havasu City-Kingman, AZ Metro Area",217420,217420,28162,55799,0.12952810229049766
29460,"Lakeland-Winter Haven, FL Metro Area",760961,760961,55834,63644,0.07337301123185025
29470,"Lake of the Woods, VA Micro Area",37208,37208,912,94175,0.0245108578800258
29540,"Lancaster, PA Metro Area",555151,555151,5951,83703,0.010719606017101653
29620,"Lansing-East Lansing, MI Metro Area",470434,470434,25638,70886,0.0544986119200568
29660,"Laramie, WY Micro Area",37713,37713,2213,59881,0.058680030758624345
29700,"Laredo, TX Metro Area",267731,267731,241536,62506,0.9021592568660335
29720,"Lares, PR Micro Area",27944,27944,93,19323,0.0033280847409103923
29740,"Las Cruces, NM Metro Area",221665,221665,131497,55663,0.5932240092030767
29780,"Las Vegas, NM Micro Area",31212,31212,8254,47700,0.2644495706779444
29820,"Las Vegas-Henderson-North Las Vegas, NV Metro Area",2293764,2293764,521284,73845,0.22726139219204766
29860,"Laurel, MS Micro Area",83050,83050,3553,49867,0.04278145695364238
29900,"Laurinburg, NC Micro Area",34353,34353,727,43500,0.02116263499548802
29940,"Lawrence, KS Metro Area",119547,119547,5618,68756,0.046994069278191844
29980,"Lawrenceburg, TN Micro Area",44901,44901,786,53233,0.017505178058395136
30020,"Lawton, OK Metro Area",127174,127174,11137,59060,0.08757293157406389
30060,"Lebanon, MO Micro Area",36245,36245,866,50825,0.02389295075182784
30140,"Lebanon, PA Metro Area",143592,143592,1476,76350,0.010279124185191375
30150,"Lebanon-Claremont, NH-VT Micro Area",222850,222850,1090,79161,0.004891182409692618
30180,"Le Mars, IA Micro Area",25699,25699,1037,81600,0.040351764660103505
30260,"Lewisburg, PA Micro Area",42570,42570,270,72894,0.006342494714587738
30280,"Lewisburg, TN Micro Area",35276,35276,2049,70829,0.0580848168726613
30300,"Lewiston, ID-WA Metro Area",64901,64901,1903,70694,0.029321582101970695
30340,"Lewiston-Auburn, ME Metro Area",112323,112323,890,67298,0.007923577539773689
30380,"Lewistown, PA Micro Area",46074,46074,257,61415,0.005577983244346052
30420,"Lexington, NE Micro Area",25949,25949,4286,66023,0.16517014143126904
30460,"Lexington-Fayette, KY Metro Area",517378,517378,25558,70717,0.04939908538824612
30500,"Lexington Park, MD Metro Area",208163,208163,3617,123577,0.017375806459361175
30580,"Liberal, KS Micro Area",21640,21640,12593,62269,0.5819316081330869
30620,"Lima, OH Metro Area",101685,101685,2308,62001,0.022697546344101885
30660,"Lincoln, IL Micro Area",27870,27870,613,64188,0.02199497667743093
30700,"Lincoln, NE Metro Area",341309,341309,17584,73095,0.051519297762438146
30780,"Little Rock-North Little Rock-Conway, AR Metro Area",753605,753605,35017,65309,0.04646598682333583
30820,"Lock Haven, PA Micro Area",37707,37707,217,58842,0.005754899620760071
30860,"Logan, UT-ID Metro Area",151746,151746,12122,77520,0.07988348951537437
30900,"Logansport, IN Micro Area",37703,37703,4022,56525,0.10667586133729412
30980,"Longview, TX Metro Area",288921,288921,43388,65210,0.15017253851398826
31020,"Longview-Kelso, WA Metro Area",111539,111539,8803,72932,0.07892306726795112
31060,"Los Alamos, NM Micro Area",19374,19374,1990,143188,0.10271497883761743
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13012469,13012469,4403074,93525,0.33837344780610046
31140,"Louisville/Jefferson County, KY-IN Metro Area",1361847,1361847,36162,71737,0.026553643691251662
31180,"Lubbock, TX Metro Area",354782,354782,108909,62288,0.30697442373062894
31220,"Ludington, MI Micro Area",29177,29177,1091,62296,0.037392466668951574
31260,"Lufkin, TX Micro Area",86791,86791,17567,58847,0.20240577940108997
31300,"Lumberton, NC Micro Area",116858,116858,8295,40318,0.07098358691745538
31340,"Lynchburg, VA Metro Area",262716,262716,3713,67782,0.014133132355851947
31380,"Macomb, IL Micro Area",27102,27102,667,50434,0.0246107298354365
31420,"Macon-Bibb County, GA Metro Area",234040,234040,4078,58127,0.017424371902238934
31500,"Madison, IN Micro Area",33074,33074,819,59987,0.024762653443792706
31540,"Madison, WI Metro Area",683967,683967,29046,86827,0.04246696112531745
31580,"Madisonville, KY Micro Area",45143,45143,758,57610,0.016791086104157898
31620,"Magnolia, AR Micro Area",22527,22527,722,47363,0.03205042837483908
31680,"Malvern, AR Micro Area",33142,33142,967,52644,0.029177478727898134
31700,"Manchester-Nashua, NH Metro Area",424732,424732,5222,100436,0.012294811787197574
31740,"Manhattan, KS Metro Area",133413,133413,8745,64096,0.06554833486991522
31820,"Manitowoc, WI Micro Area",81314,81314,3009,68611,0.03700469783801068
31860,"Mankato, MN Metro Area",103736,103736,3636,74722,0.03505051284028688
31900,"Mansfield, OH Metro Area",125138,125138,1574,57649,0.012578113762406303
31930,"Marietta, OH Micro Area",59318,59318,303,61355,0.005108061633905391
31940,"Marinette, WI-MI Micro Area",65202,65202,1052,60185,0.016134474402625686
31980,"Marion, IN Micro Area",66377,66377,2461,54007,0.037076095635536405
32000,"Marion, NC Micro Area",44679,44679,2006,55527,0.044898050538284204
32020,"Marion, OH Micro Area",65145,65145,1049,57306,0.0161025404866068
32060,"Marion-Herrin, IL Micro Area",66902,66902,1038,65521,0.01551523123374488
32100,"Marquette, MI Micro Area",66430,66430,768,64675,0.011561041698028
32140,"Marshall, MN Micro Area",25498,25498,1635,72761,0.06412267628833634
32180,"Marshall, MO Micro Area",23177,23177,1426,56566,0.06152651335375588
32260,"Marshalltown, IA Micro Area",39971,39971,8218,72785,0.20559905931800557
32280,"Martin, TN Micro Area",32959,32959,659,49502,0.01999453866925574
32300,"Martinsville, VA Micro Area",63949,63949,2570,47021,0.04018827503166586
32340,"Maryville, MO Micro Area",20959,20959,190,55970,0.009065318001813063
32380,"Mason City, IA Micro Area",50165,50165,1980,66394,0.0394697498255756
32390,"Massena-Ogdensburg, NY Micro Area",107796,107796,339,61900,0.0031448291216742735
32420,"Mayagüez, PR Metro Area",211487,211487,444,20400,0.0020994198224949996
32460,"Mayfield, KY Micro Area",36612,36612,2398,50576,0.06549765104337375
32540,"McAlester, OK Micro Area",43629,43629,1975,54787,0.045268055651057786
32580,"McAllen-Edinburg-Mission, TX Metro Area",880921,880921,771869,52281,0.8762068335299079
32620,"McComb, MS Micro Area",53794,53794,444,41963,0.008253708592036287
32660,"McMinnville, TN Micro Area",41587,41587,3453,54088,0.08303075480318368
32700,"McPherson, KS Micro Area",30130,30130,1217,77701,0.040391636242947226
32740,"Meadville, PA Micro Area",83189,83189,465,60254,0.0055896813280602005
32780,"Medford, OR Metro Area",222563,222563,26351,71443,0.11839793676397245
32820,"Memphis, TN-MS-AR Metro Area",1341606,1341606,56594,64743,0.042183770794107955
32860,"Menomonie, WI Micro Area",45349,45349,637,71785,0.014046616242916051
32900,"Merced, CA Metro Area",285597,285597,170863,65044,0.5982660882292181
32940,"Meridian, MS Micro Area",87408,87408,1083,49156,0.012390170236133992
33020,"Mexico, MO Micro Area",24688,24688,577,56232,0.023371678548282565
33060,"Miami, OK Micro Area",30360,30360,1513,48656,0.049835309617918315
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6138876,6138876,153604,73481,0.025021518597215516
33140,"Michigan City-La Porte, IN Metro Area",112141,112141,5572,70452,0.0496874470532633
33180,"Middlesborough, KY Micro Area",23878,23878,28,32403,0.0011726275232431527
33220,"Midland, MI Metro Area",83641,83641,1399,77538,0.01672624669719396
33260,"Midland, TX Metro Area",176726,176726,69383,93442,0.39260210721682154
33300,"Milledgeville, GA Micro Area",43669,43669,389,55413,0.008907920950788888
33340,"Milwaukee-Waukesha, WI Metro Area",1566361,1566361,120267,76404,0.07678115070536103
33380,"Minden, LA Micro Area",36189,36189,609,37396,0.016828317997181465
33420,"Mineral Wells, TX Micro Area",28920,28920,4974,64972,0.17199170124481328
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3693351,3693351,150765,98180,0.040820653114204415
33500,"Minot, ND Metro Area",76773,76773,2739,79195,0.035676605056465166
33540,"Missoula, MT Metro Area",124435,124435,3860,70888,0.031020211355326073
33580,"Mitchell, SD Micro Area",25779,25779,1021,64723,0.03960588075565383
33620,"Moberly, MO Micro Area",24524,24524,412,55310,0.016799869515576576
33660,"Mobile, AL Metro Area",413162,413162,5416,58119,0.013108659557268093
33700,"Modesto, CA Metro Area",552250,552250,250506,79661,0.453609778180172
33740,"Monroe, LA Metro Area",224705,224705,4249,49203,0.0189092365545938
33780,"Monroe, MI Metro Area",155001,155001,4502,75272,0.02904497390339417
33860,"Montgomery, AL Metro Area",385159,385159,8838,62746,0.022946367604028465
33900,"Monticello, IN Micro Area",24709,24709,1240,66143,0.05018414342951961
33910,"Monticello, NY Micro Area",79147,79147,934,69826,0.01180082631053609
33940,"Montrose, CO Micro Area",43272,43272,7309,66072,0.1689083009798484
33980,"Morehead City, NC Micro Area",68652,68652,1533,70235,0.022330012235623142
34020,"Morgan City, LA Micro Area",48455,48455,2091,51768,0.04315344133732329
34060,"Morgantown, WV Metro Area",140724,140724,1392,62394,0.009891702907819561
34100,"Morristown, TN Metro Area",120765,120765,8709,58130,0.07211526518444913
34140,"Moscow, ID Micro Area",40315,40315,1231,65179,0.0305345404936128
34180,"Moses Lake, WA Micro Area",100428,100428,39705,71115,0.3953578683235751
34220,"Moultrie, GA Micro Area",45907,45907,6232,49691,0.13575271745049775
34260,"Mountain Home, AR Micro Area",42150,42150,693,48427,0.016441281138790037
34300,"Mountain Home, ID Micro Area",29046,29046,4162,58976,0.14328995386628107
34340,"Mount Airy, NC Micro Area",71407,71407,7197,56095,0.1007884381083087
34380,"Mount Pleasant, MI Micro Area",64475,64475,1963,53759,0.030445909267157813
34420,"Mount Pleasant, TX Micro Area",55950,55950,17137,56163,0.3062913315460232
34460,"Mount Sterling, KY Micro Area",47286,47286,1061,55186,0.022437930888635115
34500,"Mount Vernon, IL Micro Area",36808,36808,521,61102,0.014154531623560096
34540,"Mount Vernon, OH Micro Area",62888,62888,585,73988,0.009302251621931053
34580,"Mount Vernon-Anacortes, WA Metro Area",130407,130407,20848,85474,0.15986871870375058
34620,"Muncie, IN Metro Area",112109,112109,2673,56932,0.023842867209590664
34660,"Murray, KY Micro Area",37882,37882,858,51854,0.022649279341111873
34680,"Murrells Inlet, SC Micro Area",64200,64200,817,66734,0.012725856697819315
34700,"Muscatine, IA Micro Area",42735,42735,5857,69512,0.13705393705393706
34740,"Muskegon-Norton Shores, MI Metro Area",175378,175378,8425,63495,0.04803909270261948
34780,"Muskogee, OK Micro Area",66471,66471,3671,51999,0.0552270915135924
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",368937,368937,12531,64623,0.03396514852129225
34860,"Nacogdoches, TX Micro Area",64897,64897,12045,51528,0.1856017997750281
34880,"Nantucket, MA Micro Area",14299,14299,88,119750,0.006154276522833764
34900,"Napa, CA Metro Area",136070,136070,41353,108970,0.3039097523333578
34940,"Naples-Marco Island, FL Metro Area",387681,387681,38438,86173,0.09914852675266521
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2043713,2043713,103482,82499,0.05063431117774365
35020,"Natchez, MS-LA Micro Area",54550,54550,766,38706,0.014042163153070577
35060,"Natchitoches, LA Micro Area",37047,37047,797,46798,0.021513212945717602
35100,"New Bern, NC Micro Area",122634,122634,4782,63380,0.0389940799452028
35140,"Newberry, SC Micro Area",38121,38121,2109,59670,0.05532383725505627
35220,"New Castle, IN Micro Area",48896,48896,767,60144,0.015686354712041883
35300,"New Haven, CT Metro Area",566803,566803,17165,86266,0.030283890522809512
35340,"New Iberia, LA Micro Area",69194,69194,1374,57811,0.0198572130531549
35380,"New Orleans-Metairie, LA Metro Area",988763,988763,19418,62271,0.01963867984542302
35420,"New Philadelphia-Dover, OH Micro Area",92585,92585,906,64494,0.00978560241939839
35440,"Newport, OR Micro Area",50632,50632,4477,61314,0.08842234160214883
35460,"Newport, TN Micro Area",36503,36503,362,48416,0.009916993123852833
35580,"New Ulm, MN Micro Area",25826,25826,967,68690,0.03744288701308759
35620,"New York-Newark-Jersey City, NY-NJ Metro Area",19756722,19756722,586323,97334,0.029677139760330686
35660,"Niles, MI Metro Area",153411,153411,6846,63152,0.04462522244167628
35700,"Nogales, AZ Micro Area",48209,48209,38762,53614,0.8040407392810471
35740,"Norfolk, NE Micro Area",48682,48682,4917,66629,0.10100242389384166
35820,"North Platte, NE Micro Area",34934,34934,2651,64652,0.07588595637487834
35840,"North Port-Bradenton-Sarasota, FL Metro Area",865031,865031,43904,78278,0.05075425042570729
35900,"North Wilkesboro, NC Micro Area",65983,65983,2408,50438,0.03649424851855781
35940,"Norwalk, OH Micro Area",58412,58412,2799,65972,0.047918235978908444
35980,"Norwich-New London-Willimantic, CT Metro Area",279025,279025,6205,84185,0.022238150703341994
36020,"Oak Harbor, WA Micro Area",86747,86747,5261,88358,0.06064763046560688
36100,"Ocala, FL Metro Area",387697,387697,9534,58535,0.02459136903303353
36180,"Ocean Pines, MD Micro Area",53279,53279,631,81455,0.01184331537754087
36220,"Odessa, TX Metro Area",163206,163206,93112,71031,0.5705182407509528
36260,"Ogden, UT Metro Area",645510,645510,67344,98361,0.10432681135846075
36340,"Oil City, PA Micro Area",50096,50096,171,61626,0.0034134461833280104
36380,"Okeechobee, FL Micro Area",40249,40249,7430,52288,0.18460085964868692
36420,"Oklahoma City, OK Metro Area",1445122,1445122,171518,70499,0.11868755717510356
36460,"Olean, NY Micro Area",76479,76479,527,58248,0.006890780475686136
36500,"Olympia-Lacey-Tumwater, WA Metro Area",296640,296640,18526,93985,0.06245280474649407
36540,"Omaha, NE-IA Metro Area",972840,972840,84367,83023,0.08672237983635542
36580,"Oneonta, NY Micro Area",59738,59738,345,67086,0.005775218453915431
36620,"Ontario, OR-ID Micro Area",57891,57891,13977,59225,0.2414364927190755
36660,"Opelousas, LA Micro Area",82128,82128,904,45637,0.011007208260276641
36700,"Orangeburg, SC Micro Area",83531,83531,1356,43214,0.01623349415187176
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2721022,2721022,73735,75611,0.027098274104362257
36780,"Oshkosh-Neenah, WI Metro Area",171357,171357,5650,72873,0.03297209918474296
36820,"Oskaloosa, IA Micro Area",22045,22045,358,69019,0.01623951009299161
36830,"Othello, WA Micro Area",20690,20690,12466,65042,0.6025132914451425
36837,"Ottawa, IL Micro Area",147676,147676,13618,70941,0.09221539044936211
36840,"Ottawa, KS Micro Area",25994,25994,934,72142,0.03593136877741017
36900,"Ottumwa, IA Micro Area",35265,35265,2874,60034,0.08149723521905572
36940,"Owatonna, MN Micro Area",37413,37413,2809,83448,0.07508085424852325
36980,"Owensboro, KY Metro Area",112322,112322,2750,65656,0.024483182279517814
37020,"Owosso, MI Micro Area",68061,68061,1566,64464,0.023008771543174506
37060,"Oxford, MS Micro Area",69359,69359,1461,61617,0.02106431753629666
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",838259,838259,320299,107327,0.3821002816551925
37120,"Ozark, AL Micro Area",49516,49516,2006,53955,0.04051215768640439
37140,"Paducah, KY-IL Metro Area",102924,102924,1847,62286,0.017945280012436362
37220,"Pahrump, NV Micro Area",53207,53207,6476,55975,0.12171330839927078
37260,"Palatka, FL Micro Area",74235,74235,4355,47256,0.058665050178487235
37300,"Palestine, TX Micro Area",57825,57825,9450,58846,0.16342412451361868
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",620533,620533,11232,75817,0.018100568382342277
37420,"Pampa, TX Micro Area",21916,21916,5883,56658,0.2684340208067166
37460,"Panama City-Panama City Beach, FL Metro Area",206627,206627,4759,67834,0.02303183998219013
37500,"Paragould, AR Micro Area",46182,46182,1208,56793,0.026157377333160106
37540,"Paris, TN Micro Area",32345,32345,606,48540,0.018735507806461587
37580,"Paris, TX Micro Area",62042,62042,4923,57315,0.07934947293768738
37620,"Parkersburg-Vienna, WV Metro Area",88960,88960,655,56029,0.007362859712230216
37740,"Payson, AZ Micro Area",53610,53610,7883,59089,0.14704346204066404
37800,"Pella, IA Micro Area",33551,33551,560,78059,0.01669100771959107
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",516994,516994,13074,73588,0.02528849464403842
37900,"Peoria, IL Metro Area",365773,365773,10405,70872,0.02844660486148513
37940,"Peru, IN Micro Area",35772,35772,735,61130,0.020546796377054678
37950,"Petoskey, MI Micro Area",34159,34159,334,73724,0.009777803799877046
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6241882,6241882,126570,89273,0.020277538088672616
38060,"Phoenix-Mesa-Chandler, AZ Metro Area",4941206,4941206,1292894,84703,0.26165555534418117
38100,"Picayune, MS Micro Area",56781,56781,563,56535,0.00991528856483683
38180,"Pierre, SD Micro Area",20744,20744,323,78965,0.015570767450829156
38210,"Pikeville, KY Micro Area",92808,92808,546,42014,0.0058831135246961465
38220,"Pine Bluff, AR Micro Area",73271,73271,1490,48727,0.020335466965102154
38240,"Pinehurst-Southern Pines, NC Metro Area",102840,102840,4305,82837,0.04186114352392065
38260,"Pittsburg, KS Micro Area",38963,38963,1875,50311,0.04812257783024921
38300,"Pittsburgh, PA Metro Area",2443921,2443921,18470,73942,0.007557527432351537
38340,"Pittsfield, MA Metro Area",128047,128047,794,72565,0.006200848126078706
38380,"Plainview, TX Micro Area",37541,37541,19229,53276,0.5122133134439679
38420,"Platteville, WI Micro Area",51678,51678,844,64349,0.016331901389372655
38460,"Plattsburgh, NY Micro Area",78961,78961,520,69208,0.006585529565228404
38500,"Plymouth, IN Micro Area",46225,46225,3905,68041,0.08447809626825312
38540,"Pocatello, ID Metro Area",88457,88457,6536,64080,0.07388900821868252
38620,"Ponca City, OK Micro Area",43731,43731,3152,56673,0.07207701630422354
38660,"Ponce, PR Metro Area",273739,273739,719,20646,0.0026265895615896896
38700,"Pontiac, IL Micro Area",35659,35659,1299,70796,0.036428391149499424
38740,"Poplar Bluff, MO Micro Area",42166,42166,567,49213,0.013446852914670588
38820,"Port Angeles, WA Micro Area",77593,77593,3664,67999,0.04722075444949931
38860,"Portland-South Portland, ME Metro Area",557764,557764,3392,88602,0.006081425118867478
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2510529,2510529,256413,94573,0.10213504803170965
38920,"Port Lavaca, TX Micro Area",19921,19921,8224,71870,0.41283068119070326
38940,"Port St. Lucie, FL Metro Area",506701,506701,21188,72506,0.0418155874963736
39020,"Portsmouth, OH Micro Area",73118,73118,558,49571,0.007631499767499111
39040,"Port Townsend, WA Micro Area",33313,33313,939,71143,0.02818719418845496
39060,"Pottsville, PA Micro Area",143259,143259,1860,66901,0.012983477477854794
39150,"Prescott Valley-Prescott, AZ Metro Area",241656,241656,30130,66106,0.12468136524646604
39220,"Price, UT Micro Area",20446,20446,2198,53673,0.10750269001271642
