award,family,qid,person_qid,person,year,ethnic,citizenship,birth_country,given_name,family_name
Academy Award for Best Supporting Actress,film,Q106301,Q439314,Alicia Vikander,2016,,Sweden,Sweden,Amanda,Vikander
Academy Award for Best Supporting Actress,film,Q106301,Q439314,Alicia Vikander,2016,,United Kingdom,Sweden,Alicia,Vikander
Academy Award for Best Supporting Actress,film,Q106301,Q439314,Alicia Vikander,2016,,Sweden,Sweden,Alicia,Vikander
Academy Award for Best Supporting Actress,film,Q106301,Q229181,Viola Davis,2017,African Americans,United States,United States,Viola,Davis
Academy Award for Best Supporting Actress,film,Q106301,Q229487,Allison Janney,2018,,United States,United States,Allison,Janney
Academy Award for Best Supporting Actress,film,Q106301,Q234544,Regina King,2019,,United States,United States,Regina,King
Academy Award for Best Supporting Actress,film,Q106301,Q220901,Laura Dern,2020,,United States,United States,Elizabeth,Dern
Academy Award for Best Supporting Actress,film,Q106301,Q220901,Laura Dern,2020,,United States,United States,Laura,Dern
Academy Award for Best Supporting Actress,film,Q106301,Q491013,Youn Yuh-jung,2021,,South Korea,North Korea,Yeo-jeong,Yoon
Academy Award for Best Supporting Actress,film,Q106301,Q27733932,Ariana DeBose,2022,,United States,United States,Ariana,DeBose
Academy Award for Best Supporting Actress,film,Q106301,Q106997,Jamie Lee Curtis,2023,,United States,United States,Jamie,Curtis
Academy Award for Best Supporting Actress,film,Q106301,Q106997,Jamie Lee Curtis,2023,,United States,United States,Lee,Curtis
Academy Award for Best Supporting Actress,film,Q106301,Q5243751,Da'Vine Joy Randolph,2024,,United States,United States,Joy,Randolph
Academy Award for Best Supporting Actress,film,Q106301,Q190162,Zoe Saldaña,2025,Stateside Puerto Ricans,United States,United States,Zoë,Perego
Academy Award for Best Supporting Actress,film,Q106301,Q190162,Zoe Saldaña,2025,Dominican Americans,United States,United States,Zoë,Perego
Academy Award for Best Supporting Actress,film,Q106301,Q190162,Zoe Saldaña,2025,Stateside Puerto Ricans,United States,United States,Yadira,Perego
Academy Award for Best Supporting Actress,film,Q106301,Q190162,Zoe Saldaña,2025,Dominican Americans,United States,United States,Yadira,Perego
Academy Award for Best Supporting Actress,film,Q106301,Q190162,Zoe Saldaña,2025,Stateside Puerto Ricans,United States,United States,Zoë,Saldaña
Academy Award for Best Supporting Actress,film,Q106301,Q190162,Zoe Saldaña,2025,Dominican Americans,United States,United States,Zoë,Saldaña
Academy Award for Best Supporting Actress,film,Q106301,Q190162,Zoe Saldaña,2025,Stateside Puerto Ricans,United States,United States,Yadira,Saldaña
Academy Award for Best Supporting Actress,film,Q106301,Q190162,Zoe Saldaña,2025,Dominican Americans,United States,United States,Yadira,Saldaña
Academy Award for Best Supporting Actress,film,Q106301,Q235219,Amy Madigan,2026,,United States,United States,Amy,Madigan
Academy Award for Best Supporting Actress,film,Q106301,Q235219,Amy Madigan,2026,,United States,United States,Marie,Madigan
Grammy Award for Album of the Year,music,Q904528,Q4712334,Albhy Galuten,,,United Kingdom,United States,Alan Bruce,Galuten
Grammy Award for Album of the Year,music,Q904528,Q4712334,Albhy Galuten,,,United States,United States,Alan Bruce,Galuten
Grammy Award for Album of the Year,music,Q904528,Q234693,Bonnie Raitt,,,United States,United States,Bonnie,Raitt
Grammy Award for Album of the Year,music,Q904528,Q113584842,Jahaan Sweet,,,United States,United States,,
Grammy Award for Album of the Year,music,Q904528,Q518103,Jorge Pardo,,,Spain,Spain,Jorge,Pardo
Grammy Award for Album of the Year,music,Q904528,Q319374,Leon Russell,,,United States,United States,Russell,Russell
Grammy Award for Album of the Year,music,Q904528,Q319374,Leon Russell,,,United States,United States,Claude,Russell
Grammy Award for Album of the Year,music,Q904528,Q319374,Leon Russell,,,United States,United States,Russell,Bridges
Grammy Award for Album of the Year,music,Q904528,Q319374,Leon Russell,,,United States,United States,Claude,Bridges
Grammy Award for Album of the Year,music,Q904528,Q590792,Lew Soloff,,,United States,United States,Lew,Q37062306
Grammy Award for Album of the Year,music,Q904528,Q2026379,Tricky Stewart,,,United States,United States,Christopher,Stewart
Grammy Award for Album of the Year,music,Q904528,Q40912,Frank Sinatra,1959,Italian Americans,Italy,United States,Albert,Sinatra
Grammy Award for Album of the Year,music,Q904528,Q40912,Frank Sinatra,1959,Italian Americans,United States,United States,Albert,Sinatra
Grammy Award for Album of the Year,music,Q904528,Q40912,Frank Sinatra,1959,Italian Americans,Italy,United States,Francis,Sinatra
Grammy Award for Album of the Year,music,Q904528,Q40912,Frank Sinatra,1959,Italian Americans,United States,United States,Francis,Sinatra
Grammy Award for Album of the Year,music,Q904528,Q185928,Henry Mancini,1959,,United States,United States,Enrico Nicola,Mancini
Grammy Award for Album of the Year,music,Q904528,Q11637,Judy Garland,1961,,United States,United States,Judy,Garland
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1963,,Russian Empire,Ukraine,Vladimir,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1963,,Soviet Union,Ukraine,Vladimir,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1963,,United States,Ukraine,Vladimir,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1963,,Russian Empire,Ukraine,Volodymyr,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1963,,Soviet Union,Ukraine,Volodymyr,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1963,,United States,Ukraine,Volodymyr,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192359,João Gilberto,1965,,Brazil,Brazil,João Gilberto,Prado
Grammy Award for Album of the Year,music,Q904528,Q192359,João Gilberto,1965,,Brazil,Brazil,João Gilberto,Pereira de Oliveira
Grammy Award for Album of the Year,music,Q904528,Q30587,Stan Getz,1965,,United States,United States,Stan,Getz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1966,,Russian Empire,Ukraine,Vladimir,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1966,,Soviet Union,Ukraine,Vladimir,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1966,,United States,Ukraine,Vladimir,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1966,,Russian Empire,Ukraine,Volodymyr,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1966,,Soviet Union,Ukraine,Volodymyr,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1966,,United States,Ukraine,Volodymyr,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q191819,George Martin,1968,,United Kingdom of Great Britain and Ireland,United Kingdom,Henry,Martin
Grammy Award for Album of the Year,music,Q904528,Q191819,George Martin,1968,,United Kingdom,United Kingdom,Henry,Martin
Grammy Award for Album of the Year,music,Q904528,Q191819,George Martin,1968,,United Kingdom of Great Britain and Ireland,United Kingdom,George,Martin
Grammy Award for Album of the Year,music,Q904528,Q191819,George Martin,1968,,United Kingdom,United Kingdom,George,Martin
Grammy Award for Album of the Year,music,Q904528,Q162667,Glen Campbell,1968,,United States,United States,Travis,Campbell
Grammy Award for Album of the Year,music,Q904528,Q162667,Glen Campbell,1968,,United States,United States,Glen,Campbell
Grammy Award for Album of the Year,music,Q904528,Q103774,Ravi Shankar,1972,,British Raj,India,Ravi,Shankar
Grammy Award for Album of the Year,music,Q904528,Q103774,Ravi Shankar,1972,,India,India,Ravi,Shankar
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1972,,Russian Empire,Ukraine,Vladimir,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1972,,Soviet Union,Ukraine,Vladimir,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1972,,United States,Ukraine,Vladimir,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1972,,Russian Empire,Ukraine,Volodymyr,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1972,,Soviet Union,Ukraine,Volodymyr,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q192506,Vladimir Horowitz,1972,,United States,Ukraine,Volodymyr,Horowitz
Grammy Award for Album of the Year,music,Q904528,Q392,Bob Dylan,1973,American Jews,United States,United States,Robert,Dylan
Grammy Award for Album of the Year,music,Q904528,Q392,Bob Dylan,1973,American Jews,United States,United States,Allen,Dylan
Grammy Award for Album of the Year,music,Q904528,Q194333,Billy Joel,1980,,United States,United States,William,Q15727111
Grammy Award for Album of the Year,music,Q904528,Q194333,Billy Joel,1980,,United States,United States,Martin,Q15727111
Grammy Award for Album of the Year,music,Q904528,Q204323,Phil Ramone,1980,,South Africa,South Africa,Philip,Ramone
Grammy Award for Album of the Year,music,Q904528,Q204323,Phil Ramone,1980,,United States,South Africa,Philip,Ramone
Grammy Award for Album of the Year,music,Q904528,Q445438,Christopher Cross,1981,,United States,United States,Christopher,Cross
Grammy Award for Album of the Year,music,Q904528,Q445438,Christopher Cross,1981,,United States,United States,Christopher,Geppert
Grammy Award for Album of the Year,music,Q904528,Q1645182,Michael Omartian,1981,,United States,United States,Michael,Omartian
Grammy Award for Album of the Year,music,Q904528,Q117012,Yoko Ono,1981,Japanese Americans,United States,Japan,Yōko,Ono
Grammy Award for Album of the Year,music,Q904528,Q117012,Yoko Ono,1981,Japanese people,United States,Japan,Yōko,Ono
Grammy Award for Album of the Year,music,Q904528,Q117012,Yoko Ono,1981,Japanese Americans,Japan,Japan,Yōko,Ono
Grammy Award for Album of the Year,music,Q904528,Q117012,Yoko Ono,1981,Japanese people,Japan,Japan,Yōko,Ono
Grammy Award for Album of the Year,music,Q904528,Q26695,Lionel Richie,1984,,United States,United States,Lionel,Richie
Grammy Award for Album of the Year,music,Q904528,Q2831,Michael Jackson,1984,African Americans,United States,United States,Joseph,Jackson
Grammy Award for Album of the Year,music,Q904528,Q2831,Michael Jackson,1984,African Americans,United States,United States,Michael,Jackson
Grammy Award for Album of the Year,music,Q904528,Q935369,Daniel Lanois,1987,,Canada,Canada,Roland,Lanois
Grammy Award for Album of the Year,music,Q904528,Q935369,Daniel Lanois,1987,,Canada,Canada,Daniel,Lanois
Grammy Award for Album of the Year,music,Q904528,Q77112,David Foster,1991,,Canada,Canada,Q499249,Foster
Grammy Award for Album of the Year,music,Q904528,Q77112,David Foster,1991,,Canada,Canada,David,Foster
Grammy Award for Album of the Year,music,Q904528,Q337359,Sérgio Mendes,1992,,Brazil,Brazil,Sérgio,Santos
Grammy Award for Album of the Year,music,Q904528,Q337359,Sérgio Mendes,1992,,Brazil,Brazil,Sérgio,Mendes
Grammy Award for Album of the Year,music,Q904528,Q1174042,David Cole,1993,,United States,United States,David,Cole
Grammy Award for Album of the Year,music,Q904528,Q77112,David Foster,1993,,Canada,Canada,Q499249,Foster
Grammy Award for Album of the Year,music,Q904528,Q77112,David Foster,1993,,Canada,Canada,David,Foster
Grammy Award for Album of the Year,music,Q904528,Q130742,Alanis Morissette,1995,,United States,Canada,Alanis,Morissette
Grammy Award for Album of the Year,music,Q904528,Q130742,Alanis Morissette,1995,,Canada,Canada,Alanis,Morissette
Grammy Award for Album of the Year,music,Q904528,Q130742,Alanis Morissette,1995,,United States,Canada,Nadine,Morissette
Grammy Award for Album of the Year,music,Q904528,Q130742,Alanis Morissette,1995,,Canada,Canada,Nadine,Morissette
Grammy Award for Album of the Year,music,Q904528,Q296729,Tony Bennett,1995,,United States,United States,Dominick,Benedetto
Grammy Award for Album of the Year,music,Q904528,Q296729,Tony Bennett,1995,,United States,United States,Anthony,Benedetto
Grammy Award for Album of the Year,music,Q904528,Q1159082,Dan Hill,1996,,Canada,Canada,Dan,Hill
Grammy Award for Album of the Year,music,Q904528,Q77112,David Foster,1996,,Canada,Canada,Q499249,Foster
Grammy Award for Album of the Year,music,Q904528,Q77112,David Foster,1996,,Canada,Canada,David,Foster
Grammy Award for Album of the Year,music,Q904528,Q5105,Céline Dion,1997,,Canada,Canada,Céline,Dion
Grammy Award for Album of the Year,music,Q904528,Q935369,Daniel Lanois,1997,,Canada,Canada,Roland,Lanois
Grammy Award for Album of the Year,music,Q904528,Q935369,Daniel Lanois,1997,,Canada,Canada,Daniel,Lanois
Grammy Award for Album of the Year,music,Q904528,Q16729211,Humberto Gatico,1997,,Chile,Chile,Humberto,Gatica
Grammy Award for Album of the Year,music,Q904528,Q16729211,Humberto Gatico,1997,,United States,Chile,Humberto,Gatica
Grammy Award for Album of the Year,music,Q904528,Q392,Bob Dylan,1998,American Jews,United States,United States,Robert,Dylan
Grammy Award for Album of the Year,music,Q904528,Q392,Bob Dylan,1998,American Jews,United States,United States,Allen,Dylan
Grammy Award for Album of the Year,music,Q904528,Q1101938,Clive Davis,1999,,United States,United States,Clive,Davis
Grammy Award for Album of the Year,music,Q904528,Q204323,Phil Ramone,2005,,United States,South Africa,Philip,Ramone
Grammy Award for Album of the Year,music,Q904528,Q204323,Phil Ramone,2005,,South Africa,South Africa,Philip,Ramone
Grammy Award for Album of the Year,music,Q904528,Q105875,Herbie Hancock,2007,African Americans,United States,United States,Herbie,Hancock
Grammy Award for Album of the Year,music,Q904528,Q105875,Herbie Hancock,2007,African Americans,United States,United States,Herbert,Hancock
Grammy Award for Album of the Year,music,Q904528,Q105875,Herbie Hancock,2007,African Americans,United States,United States,Jeffrey,Hancock
Grammy Award for Album of the Year,music,Q904528,Q205721,Joni Mitchell,2007,,United States,Canada,Roberta,Mitchell
Grammy Award for Album of the Year,music,Q904528,Q205721,Joni Mitchell,2007,,Canada,Canada,Roberta,Mitchell
Grammy Award for Album of the Year,music,Q904528,Q205721,Joni Mitchell,2007,,United States,Canada,Joan,Mitchell
Grammy Award for Album of the Year,music,Q904528,Q205721,Joni Mitchell,2007,,Canada,Canada,Joan,Mitchell
Grammy Award for Album of the Year,music,Q904528,Q1276,Leonard Cohen,2007,,Canada,Canada,Leonard,Cohen
Grammy Award for Album of the Year,music,Q904528,Q1276,Leonard Cohen,2007,,Canada,Canada,Norman,Cohen
Grammy Award for Album of the Year,music,Q904528,Q1276,Leonard Cohen,2007,,Canada,Canada,Eliezer,Cohen
Grammy Award for Album of the Year,music,Q904528,Q549981,Norah Jones,2008,Bengali American,United States,United States,Norah,Jones
Grammy Award for Album of the Year,music,Q904528,Q549981,Norah Jones,2008,Bengali American,United States,United States,Norah,Shankar
Grammy Award for Album of the Year,music,Q904528,Q131814,Tina Turner,2008,African Americans,Switzerland,United States,Anna,Turner
Grammy Award for Album of the Year,music,Q904528,Q131814,Tina Turner,2008,African Americans,United States,United States,Anna,Turner
Grammy Award for Album of the Year,music,Q904528,Q131814,Tina Turner,2008,African Americans,Switzerland,United States,Tina,Turner
Grammy Award for Album of the Year,music,Q904528,Q131814,Tina Turner,2008,African Americans,United States,United States,Tina,Turner
Grammy Award for Album of the Year,music,Q904528,Q131814,Tina Turner,2008,African Americans,Switzerland,United States,Mae,Turner
Grammy Award for Album of the Year,music,Q904528,Q131814,Tina Turner,2008,African Americans,United States,United States,Mae,Turner
Grammy Award for Album of the Year,music,Q904528,Q131814,Tina Turner,2008,African Americans,Switzerland,United States,Anna,Bullock
Grammy Award for Album of the Year,music,Q904528,Q131814,Tina Turner,2008,African Americans,United States,United States,Anna,Bullock
Grammy Award for Album of the Year,music,Q904528,Q131814,Tina Turner,2008,African Americans,Switzerland,United States,Tina,Bullock
Grammy Award for Album of the Year,music,Q904528,Q131814,Tina Turner,2008,African Americans,United States,United States,Tina,Bullock
Grammy Award for Album of the Year,music,Q904528,Q131814,Tina Turner,2008,African Americans,Switzerland,United States,Mae,Bullock
Grammy Award for Album of the Year,music,Q904528,Q131814,Tina Turner,2008,African Americans,United States,United States,Mae,Bullock
Grammy Award for Album of the Year,music,Q904528,Q26876,Taylor Swift,2010,,United States,United States,Taylor,Swift
Grammy Award for Album of the Year,music,Q904528,Q26876,Taylor Swift,2010,,United States,United States,Alison,Swift
Grammy Award for Album of the Year,music,Q904528,Q351061,Ryan Tedder,2011,,United States,United States,Ryan Benjamin,Tedder
Grammy Award for Album of the Year,music,Q904528,Q23215,Adele,2012,,United Kingdom,United Kingdom,Adele,Adkins
Grammy Award for Album of the Year,music,Q904528,Q23215,Adele,2012,,United Kingdom,United Kingdom,Laurie,Adkins
Grammy Award for Album of the Year,music,Q904528,Q23215,Adele,2012,,United Kingdom,United Kingdom,Blue,Adkins
Grammy Award for Album of the Year,music,Q904528,Q312674,Giorgio Moroder,2014,Ladins,Italy,Italy,Giorgio,Moroder
Grammy Award for Album of the Year,music,Q904528,Q471650,Guy-Manuel de Homem-Christo,2014,,France,France,,Christo
Grammy Award for Album of the Year,music,Q904528,Q471650,Guy-Manuel de Homem-Christo,2014,,France,France,,de Homem
Grammy Award for Album of the Year,music,Q904528,Q471656,Q471656,2014,,France,France,Thomas,Bangalter
Grammy Award for Album of the Year,music,Q904528,Q11901,Beck,2015,,United States,United States,David,Campbell
Grammy Award for Album of the Year,music,Q904528,Q11901,Beck,2015,,United States,United States,Bek,Campbell
Grammy Award for Album of the Year,music,Q904528,Q11901,Beck,2015,,United States,United States,David,Hansen
Grammy Award for Album of the Year,music,Q904528,Q11901,Beck,2015,,United States,United States,Bek,Hansen
Grammy Award for Album of the Year,music,Q904528,Q26876,Taylor Swift,2016,,United States,United States,Taylor,Swift
Grammy Award for Album of the Year,music,Q904528,Q26876,Taylor Swift,2016,,United States,United States,Alison,Swift
Grammy Award for Album of the Year,music,Q904528,Q23215,Adele,2017,,United Kingdom,United Kingdom,Adele,Adkins
Grammy Award for Album of the Year,music,Q904528,Q23215,Adele,2017,,United Kingdom,United Kingdom,Laurie,Adkins
Grammy Award for Album of the Year,music,Q904528,Q23215,Adele,2017,,United Kingdom,United Kingdom,Blue,Adkins
Grammy Award for Album of the Year,music,Q904528,Q2783855,Kacey Musgraves,2019,,United States,United States,Kacey,Musgraves
Grammy Award for Album of the Year,music,Q904528,Q29564107,Q29564107,2020,Scottish Americans,United States,United States,Baird,O'Connell
Grammy Award for Album of the Year,music,Q904528,Q29564107,Q29564107,2020,Irish Americans,United States,United States,Baird,O'Connell
Grammy Award for Album of the Year,music,Q904528,Q29564107,Q29564107,2020,Scottish Americans,United States,United States,Billie,O'Connell
Grammy Award for Album of the Year,music,Q904528,Q29564107,Q29564107,2020,Irish Americans,United States,United States,Billie,O'Connell
Grammy Award for Album of the Year,music,Q904528,Q29564107,Q29564107,2020,Scottish Americans,United States,United States,Eilish,O'Connell
Grammy Award for Album of the Year,music,Q904528,Q29564107,Q29564107,2020,Irish Americans,United States,United States,Eilish,O'Connell
Grammy Award for Album of the Year,music,Q904528,Q29564107,Q29564107,2020,Scottish Americans,United States,United States,http://www.wikidata.org/.well-known/genid/ba546721e93f66261ece15f6dabcf5f4,O'Connell
Grammy Award for Album of the Year,music,Q904528,Q29564107,Q29564107,2020,Irish Americans,United States,United States,http://www.wikidata.org/.well-known/genid/ba546721e93f66261ece15f6dabcf5f4,O'Connell
Grammy Award for Album of the Year,music,Q904528,Q26876,Taylor Swift,2024,,United States,United States,Taylor,Swift
Grammy Award for Album of the Year,music,Q904528,Q26876,Taylor Swift,2024,,United States,United States,Alison,Swift
Grammy Award for Album of the Year,music,Q904528,Q44333953,Q44333953,2026,,Puerto Rico,United States,Antonio,Martínez
Grammy Award for Album of the Year,music,Q904528,Q44333953,Q44333953,2026,,United States,United States,Antonio,Martínez
Grammy Award for Album of the Year,music,Q904528,Q44333953,Q44333953,2026,,Puerto Rico,United States,Benito,Martínez
Grammy Award for Album of the Year,music,Q904528,Q44333953,Q44333953,2026,,United States,United States,Benito,Martínez
Grammy Award for Best New Artist,music,Q1453643,Q3182100,John Molo,,,United States,United States,John,Molo
Grammy Award for Best New Artist,music,Q1453643,Q311267,Bobby Darin,1960,,United States,United States,Robert,Cassotto
Grammy Award for Best New Artist,music,Q1453643,Q311267,Bobby Darin,1960,,United States,United States,Walden,Cassotto
Grammy Award for Best New Artist,music,Q1453643,Q718078,Bob Newhart,1961,,United States,United States,Robert,Newhart
Grammy Award for Best New Artist,music,Q1453643,Q718078,Bob Newhart,1961,,United States,United States,George,Newhart
Grammy Award for Best New Artist,music,Q1453643,Q718078,Bob Newhart,1961,,United States,United States,Bob,Newhart
Grammy Award for Best New Artist,music,Q1453643,Q7176071,Peter Nero,1962,,United States,United States,Peter,Nierow
Grammy Award for Best New Artist,music,Q1453643,Q7176071,Peter Nero,1962,,United States,United States,Bernard,Nierow
Grammy Award for Best New Artist,music,Q1453643,Q720742,Robert Goulet,1963,French-Canadian Americans,United States,United States,Robert,Goulet
Grammy Award for Best New Artist,music,Q1453643,Q180850,Tom Jones,1966,,United Kingdom,United Kingdom,John,Jones
Grammy Award for Best New Artist,music,Q1453643,Q180850,Tom Jones,1966,,United Kingdom,United Kingdom,Thomas,Jones
Grammy Award for Best New Artist,music,Q1453643,Q180850,Tom Jones,1966,,United Kingdom,United Kingdom,John,Woodward
Grammy Award for Best New Artist,music,Q1453643,Q180850,Tom Jones,1966,,United Kingdom,United Kingdom,Thomas,Woodward
Grammy Award for Best New Artist,music,Q1453643,Q272253,Bobbie Gentry,1968,,United States,United States,Bobbie,Gentry
Grammy Award for Best New Artist,music,Q1453643,Q315784,José Feliciano,1969,,United States,United States,José,Feliciano
Grammy Award for Best New Artist,music,Q1453643,Q315784,José Feliciano,1969,,United States,United States,Monserrate,Feliciano
Grammy Award for Best New Artist,music,Q1453643,Q357211,Graham Nash,1970,,United Kingdom,United Kingdom,Graham,Nash
Grammy Award for Best New Artist,music,Q1453643,Q357211,Graham Nash,1970,,United States,United Kingdom,Graham,Nash
Grammy Award for Best New Artist,music,Q1453643,Q357211,Graham Nash,1970,,United Kingdom,United Kingdom,William,Nash
Grammy Award for Best New Artist,music,Q1453643,Q357211,Graham Nash,1970,,United States,United Kingdom,William,Nash
Grammy Award for Best New Artist,music,Q1453643,Q181683,Carly Simon,1972,,United States,United States,Carly,Simon
Grammy Award for Best New Artist,music,Q1453643,Q190631,Bette Midler,1974,,United States,United States,Bette,Midler
Grammy Award for Best New Artist,music,Q1453643,Q337206,Marvin Hamlisch,1975,,United States,United States,Frederick,Hamlisch
Grammy Award for Best New Artist,music,Q1453643,Q337206,Marvin Hamlisch,1975,,United States,United States,Marvin,Hamlisch
Grammy Award for Best New Artist,music,Q1453643,Q231942,Natalie Cole,1976,African Americans,United States,United States,Natalie,Cole
Grammy Award for Best New Artist,music,Q1453643,Q269508,Debby Boone,1978,,United States,United States,Debby,Boone
Grammy Award for Best New Artist,music,Q1453643,Q258846,Rickie Lee Jones,1980,,United States,United States,Lee,Jones
Grammy Award for Best New Artist,music,Q1453643,Q258846,Rickie Lee Jones,1980,,United States,United States,Rickie,Jones
Grammy Award for Best New Artist,music,Q1453643,Q445438,Christopher Cross,1981,,United States,United States,Christopher,Cross
Grammy Award for Best New Artist,music,Q1453643,Q445438,Christopher Cross,1981,,United States,United States,Christopher,Geppert
Grammy Award for Best New Artist,music,Q1453643,Q465977,Sheena Easton,1982,,United Kingdom,United Kingdom,Sheena,Easton
Grammy Award for Best New Artist,music,Q1453643,Q1545,Cyndi Lauper,1985,,United States,United States,Ann,Thornton
Grammy Award for Best New Artist,music,Q1453643,Q1545,Cyndi Lauper,1985,,United States,United States,Cynthia,Thornton
Grammy Award for Best New Artist,music,Q1453643,Q1545,Cyndi Lauper,1985,,United States,United States,Stephanie,Thornton
Grammy Award for Best New Artist,music,Q1453643,Q1545,Cyndi Lauper,1985,,United States,United States,Cyndi,Thornton
Grammy Award for Best New Artist,music,Q1453643,Q1545,Cyndi Lauper,1985,,United States,United States,Ann,Lauper
Grammy Award for Best New Artist,music,Q1453643,Q1545,Cyndi Lauper,1985,,United States,United States,Cynthia,Lauper
Grammy Award for Best New Artist,music,Q1453643,Q1545,Cyndi Lauper,1985,,United States,United States,Stephanie,Lauper
Grammy Award for Best New Artist,music,Q1453643,Q1545,Cyndi Lauper,1985,,United States,United States,Cyndi,Lauper
Grammy Award for Best New Artist,music,Q1453643,Q194187,Sade Adu,1986,,,Nigeria,Helen,Adu
Grammy Award for Best New Artist,music,Q1453643,Q194187,Sade Adu,1986,,,Nigeria,Folashade,Adu
Grammy Award for Best New Artist,music,Q1453643,Q918502,Bruce Hornsby,1987,,United States,United States,Bruce,Hornsby
Grammy Award for Best New Artist,music,Q1453643,Q465897,Jody Watley,1988,,United States,United States,Jody,Watley
Grammy Award for Best New Artist,music,Q1453643,Q187814,Tracy Chapman,1989,African Americans,United States,United States,Tracy,Chapman
Grammy Award for Best New Artist,music,Q1453643,Q41076,Q41076,1991,African Americans,United States,United States,Mariah,Carey
Grammy Award for Best New Artist,music,Q1453643,Q1356434,Marc Cohn,1992,,United States,United States,Marc,Cohn
Grammy Award for Best New Artist,music,Q1453643,Q155412,Toni Braxton,1994,African Americans,United States,United States,Toni,Braxton
Grammy Award for Best New Artist,music,Q1453643,Q200586,Sheryl Crow,1995,White Americans,United States,United States,Suzanne,Crow
Grammy Award for Best New Artist,music,Q1453643,Q200586,Sheryl Crow,1995,White Americans,United States,United States,Sheryl,Crow
Grammy Award for Best New Artist,music,Q1453643,Q120533,LeAnn Rimes,1997,,United States,United States,LeAnn,Rimes
Grammy Award for Best New Artist,music,Q1453643,Q269462,Paula Cole,1998,,United States,United States,Paula,Cole
Grammy Award for Best New Artist,music,Q1453643,Q214226,Lauryn Hill,1999,African Americans,United States,United States,Q2003902,Hill
Grammy Award for Best New Artist,music,Q1453643,Q214226,Lauryn Hill,1999,African Americans,United States,United States,Lauryn,Hill
Grammy Award for Best New Artist,music,Q1453643,Q41594,Q41594,2000,,United States,United States,Christina,Aguilera
Grammy Award for Best New Artist,music,Q1453643,Q538901,Shelby Lynne,2001,,United States,United States,Lynn,Moorer
Grammy Award for Best New Artist,music,Q1453643,Q538901,Shelby Lynne,2001,,United States,United States,Shelby,Moorer
Grammy Award for Best New Artist,music,Q1453643,Q121507,Q121507,2002,African Americans,United States,United States,Alicia,Cook
Grammy Award for Best New Artist,music,Q1453643,Q121507,Q121507,2002,African Americans,United States,United States,Alicia,Augello
Grammy Award for Best New Artist,music,Q1453643,Q549981,Norah Jones,2003,Bengali American,United States,United States,Norah,Jones
Grammy Award for Best New Artist,music,Q1453643,Q549981,Norah Jones,2003,Bengali American,United States,United States,Norah,Shankar
Grammy Award for Best New Artist,music,Q1453643,Q44857,John Legend,2006,,United States,United States,Roger,Stephens
Grammy Award for Best New Artist,music,Q1453643,Q44857,John Legend,2006,,United States,United States,John,Stephens
Grammy Award for Best New Artist,music,Q1453643,Q215546,Carrie Underwood,2007,,United States,United States,Marie,Underwood
Grammy Award for Best New Artist,music,Q1453643,Q215546,Carrie Underwood,2007,,United States,United States,Carrie,Underwood
Grammy Award for Best New Artist,music,Q1453643,Q15897,Amy Winehouse,2008,,United Kingdom,United Kingdom,Amy,Winehouse
Grammy Award for Best New Artist,music,Q1453643,Q15897,Amy Winehouse,2008,,United Kingdom,United Kingdom,Jade,Winehouse
Grammy Award for Best New Artist,music,Q1453643,Q23215,Adele,2009,,United Kingdom,United Kingdom,Adele,Adkins
Grammy Award for Best New Artist,music,Q1453643,Q23215,Adele,2009,,United Kingdom,United Kingdom,Laurie,Adkins
Grammy Award for Best New Artist,music,Q1453643,Q23215,Adele,2009,,United Kingdom,United Kingdom,Blue,Adkins
Grammy Award for Best New Artist,music,Q1453643,Q238705,Esperanza Spalding,2011,African Americans,United States,United States,Esperanza,Spalding
Grammy Award for Best New Artist,music,Q1453643,Q238705,Esperanza Spalding,2011,African Americans,United States,United States,Emily,Spalding
