measure,eta,convention,group,most_costly_weighted,most_costly_variant,most_costly_unweighted,least_costly_weighted,least_costly_variant,least_costly_unweighted,most_costly_equal_split,least_costly_equal_split
money,1.3,a,unreimbursed_care,-10.00010464271764,high,-5.5581,-5.83568834829432,low,-3.2435000000000005,-3.4868426240541224,-2.034791394742726
money,1.3,a,TOTAL,-623.8762550768411,,-297.4568059618681,-331.8799947358475,,-225.86796599856635,-217.53355550347658,-115.72012024479429
money,1.3,b,fiscal_b,-713.761458313001,A=-258.43,-248.87478333191217,-593.591166704228,A=-216.53,-206.97373230324902,-248.87478333191214,-206.97373230324902
money,1.3,b,wages_b,-88.47889292458161,below_ba_s1.5,1.237962106794952,-57.2874519000265,hs_or_less_s2.5,-2.5418155720324775,-30.850874685918317,-19.97502388676783
money,1.3,b,housing,-144.24191672319697,national_uniform_high_intp,1.0805152632490687,-54.152356173443515,metro_local_low_scf,2.3009818767151486,-50.294360046719106,-18.881876784762234
money,1.3,b,crime,-186.3278007566568,envelope_high,-45.34239999999999,-63.32467573132446,envelope_low,-15.4099,-64.96889192031624,-22.080086797409958
money,1.3,b,unreimbursed_care,-10.00010464271764,high,-5.5581,-5.83568834829432,low,-3.2435000000000005,-3.4868426240541224,-2.034791394742726
money,1.3,b,TOTAL,-1142.8101733601538,,-297.45680596186816,-774.1913388573169,,-225.86796599856635,-398.4757526089199,-269.9455111669318
money,1.4,a,fiscal_a,-193.9615309826885,A=-258.43,-248.87478333191214,-161.3057837892719,A=-216.53,-206.97373230324902,-59.613077019216455,-49.57650140188462
money,1.4,a,wages_a,-106.61424694478858,below_ba_s1.5,1.2379621067949513,-58.822894298806816,hs_or_less_s2.5,-2.5418155720324775,-32.76733939078206,-18.078913434855142
money,1.4,a,housing,-169.45667653781857,national_uniform_high_intp,1.0805152632490687,-63.58863230190161,metro_local_low_scf,2.3009818767151486,-52.08163628472823,-19.543638451163936
money,1.4,a,crime,-216.25914580936055,envelope_high,-45.34239999999999,-73.49703171882535,envelope_low,-15.4099,-66.46613403146421,-22.58893395169777
money,1.4,a,unreimbursed_care,-10.906393981277612,high,-5.5581,-6.364565027306801,low,-3.2435000000000005,-3.3520239869928106,-1.956116263077523
money,1.4,a,TOTAL,-697.1979942559337,,-297.4568059618681,-363.5789071361125,,-225.86796599856635,-214.28021071318375,-111.744103502679
money,1.4,b,fiscal_b,-809.7574628211507,A=-258.43,-248.87478333191217,-673.4250939235776,A=-216.53,-206.97373230324902,-248.87478333191214,-206.973732303249
money,1.4,b,wages_b,-98.68797476374966,below_ba_s1.5,1.237962106794952,-64.81896791736314,hs_or_less_s2.5,-2.5418155720324775,-30.331240481840588,-19.92177576237406
money,1.4,b,housing,-169.45667653781857,national_uniform_high_intp,1.0805152632490687,-63.58863230190161,metro_local_low_scf,2.3009818767151486,-52.08163628472823,-19.543638451163936
money,1.4,b,crime,-216.25914580936055,envelope_high,-45.34239999999999,-73.49703171882535,envelope_low,-15.4099,-66.46613403146421,-22.58893395169777
money,1.4,b,unreimbursed_care,-10.906393981277612,high,-5.5581,-6.364565027306801,low,-3.2435000000000005,-3.3520239869928106,-1.956116263077523
money,1.4,b,TOTAL,-1305.0676539133572,,-297.45680596186816,-881.6942908889745,,-225.86796599856635,-401.105818116938,-270.9841967315623
money,2.0,a,fiscal_a,-268.87408735626974,A=-258.43,-248.87478333191214,-223.60591392475249,A=-216.53,-206.97373230324902,-35.02599180965984,-29.12894651444087
money,2.0,a,wages_a,-212.22886507248595,below_ba_s1.5,1.2379621067949513,-122.79253416480674,hs_or_less_s2.5,-2.5418155720324775,-27.646868327450807,-15.996075851835357
money,2.0,a,housing,-459.9909024335193,national_uniform_high_intp,1.0805152632490687,-171.22824583668856,metro_local_low_scf,2.3009818767151486,-59.922611879685796,-22.305753578668256
money,2.0,a,crime,-569.3148925621671,envelope_high,-45.34239999999999,-193.485249190465,envelope_low,-15.4099,-74.16415229920388,-25.20515390706054
money,2.0,a,unreimbursed_care,-20.759037791227026,high,-5.5581,-12.114200729717865,low,-3.2435000000000005,-2.704261666868962,-1.5781063162752522
money,2.0,a,TOTAL,-1531.167785215669,,-297.4568059618681,-723.2261438464305,,-225.86796599856635,-199.46388598286927,-94.21403616828026
money,2.0,b,fiscal_b,-1910.4663930145286,A=-258.43,-248.87478333191217,-1588.816490398689,A=-216.53,-206.97373230324902,-248.87478333191217,-206.97373230324905
money,2.0,b,wages_b,-191.0989635057444,below_ba_s1.5,1.237962106794952,-138.77690139990014,hs_or_less_s2.5,-2.5418155720324775,-24.89429456144505,-18.07834536826193
money,2.0,b,housing,-459.9909024335193,national_uniform_high_intp,1.0805152632490687,-171.22824583668856,metro_local_low_scf,2.3009818767151486,-59.922611879685796,-22.305753578668256
money,2.0,b,crime,-569.3148925621671,envelope_high,-45.34239999999999,-193.485249190465,envelope_low,-15.4099,-74.16415229920388,-25.20515390706054
money,2.0,b,unreimbursed_care,-20.759037791227026,high,-5.5581,-12.114200729717865,low,-3.2435000000000005,-2.704261666868962,-1.5781063162752522
money,2.0,b,TOTAL,-3151.6301893071864,,-297.45680596186816,-2104.421087555461,,-225.86796599856635,-410.56010373911585,-274.1410914735151
