measure,channel,eta,unweighted_bn,person_p1,person_p2,person_p3,person_p5,person_p10,quintile_bins,decile_bins,quintile_bins_floored_p5,decile_bins_floored_p5,equal_split_p1,equal_split_p2,equal_split_p3,equal_split_p5,equal_split_p10,median_normalized_p5
spm,landlords_mid_national_uniform_low,1.4,22.04612865413556,,20.627475356192782,14.008819054882066,12.513458712511545,11.820038662656874,13.939024653291103,13.96711165749607,13.549195613634346,12.944787615067735,,4.737194824882957,4.788104021974668,5.08654216667325,5.554771384806816,8.57071005616315
spm,landlords_mid_national_uniform_low,2.0,22.04612865413556,,74.4685604902794,23.138872491704127,15.975399950877735,13.540206170662502,16.506656428021934,19.8140225673113,15.255395227539367,15.637674929319441,,4.167514437433597,3.352239142847078,3.4013110506356097,3.827101626150962,9.303598013856346
spm,owner_value_stock_national_uniform_low,0.0,1232.3383946047843,1232.3383946047852,1232.3383946047852,1232.3383946047852,1232.3383946047852,1232.3383946047852,1232.338394604784,1232.3383946047863,1232.338394604784,1232.3383946047863,1232.3383946047852,1232.3383946047852,1232.3383946047852,1232.3383946047852,1232.3383946047852,1232.3383946047852
spm,owner_value_stock_national_uniform_low,1.0,1232.3383946047843,,1900.6145642711142,1635.0260326325606,1524.254210602655,1437.899919342444,1528.8814587475667,1629.7013461128136,1471.3614421624654,1505.677365826638,,857.9009712914933,870.5139241316275,882.1454261750287,900.5858905250889,1163.2069870024134
spm,owner_value_stock_national_uniform_low,1.3,1232.3383946047843,,2888.9720943489638,2097.356325968092,1835.8513431052218,1660.6761318858075,1836.5893801592044,2071.1178589204637,1724.525733553767,1798.9153530302717,,803.1780845801385,809.1040099669567,820.3820366603957,842.2015840605582,1291.8645769576904
spm,owner_value_stock_national_uniform_low,1.4,1232.3383946047843,,3445.307108182601,2319.6071609304786,1975.8486659469577,1756.9671894330786,1973.9034221163256,2279.0131138138654,1835.792817365084,1929.890857769717,,791.2306630445283,792.8234587898291,803.1542505714738,825.678438662027,1353.29699164279
spm,owner_value_stock_national_uniform_low,2.0,1232.3383946047843,,13699.679067568832,5053.611146293935,3420.6434780443346,2655.303737142758,3352.9396490397,4680.46489851487,2909.6364994011487,3254.2479175104554,,766.6807297792809,732.1408207512518,728.2867720327451,750.5142183404847,1992.0810725427514
spm,renters_metro_local_central,0.0,-33.85640156627464,-33.8564015662745,-33.8564015662745,-33.8564015662745,-33.8564015662745,-33.8564015662745,-33.85640156627464,-33.8564015662745,-33.85640156627464,-33.8564015662745,-33.8564015662745,-33.8564015662745,-33.8564015662745,-33.8564015662745,-33.8564015662745,-33.8564015662745
spm,renters_metro_local_central,1.0,-33.85640156627464,,-89.08810982478334,-69.93768168064537,-62.22500668869037,-56.28519220165926,-61.44446378578807,-69.54468545316384,-57.89489681140133,-60.99289334123127,,-40.212664569638974,-37.23593662081415,-36.012040945870794,-35.25255774789084,-47.48588656871018
spm,renters_metro_local_central,1.3,-33.85640156627464,,-157.9964949476573,-100.82373055112163,-82.61142623280425,-70.56325267454257,-80.86523144827055,-98.93443483651289,-73.94977066373664,-80.16532875437653,,-43.925423312554344,-38.895100312097156,-36.91634965914753,-35.78571525049872,-58.1325800713246
spm,renters_metro_local_central,1.4,-33.85640156627464,,-196.87067887027987,-115.52599719184187,-91.58323138041683,-76.52950048485471,-89.2852018135956,-112.59286024332344,-80.76238018484513,-88.51992734398122,,-45.212259135507566,-39.48587597782695,-37.22727495883391,-35.96467757164482,-62.72712766321288
spm,renters_metro_local_central,2.0,-33.85640156627464,,-924.0379351109103,-297.3270970833332,-183.53590451554126,-130.9088007489601,-172.09653843234094,-270.414672234635,-144.74024903922907,-172.0731168361156,,-51.71231201405756,-43.0751988209101,-39.07649900075358,-37.00100854515306,-106.88585462477265
