measure,channel,net_bn,gross_loss_bn,gross_gain_bn,loss_share_bottom2,gain_share_top2,net_share_q1,net_share_q5,pct_resources_q1,pct_resources_q5
money,TOTAL_b,-262.6246719251764,-315.72030079347604,53.09562886829944,0.4343312495580109,0.9853575608968674,0.25919102302843494,-0.003936816551535466,-11.003809652344554,0.019781073273265826
money,fiscal_a_cps_tax_fields,-227.92425781758172,-227.92425781758172,0.0,0.06117479143512671,,0.008228385957973048,0.60579612768053,-0.30317458666070035,-2.641716404584267
money,wages_pretax,8.086736521328731,-145.49723872449783,153.58397524582628,0.2120441005811521,0.8626951535229577,-0.8556991266291234,7.0606106224283955,-1.1186184356299662,1.0924075824481605
money,fiscal_A_only_a,-237.4800916020966,-237.4800916020966,0.0,0.07700469029678966,,0.01790864956529321,0.6319748770756164,-0.6875078107750221,-2.8714163749428097
money,TOTAL_a_pretax_wages,-262.62467192517613,-333.91173275958056,71.28706083440484,0.2286453689972681,0.8524444404763928,0.11174809929194668,0.2944488152577071,-4.744202940566264,-1.4794983493877283
money,fiscal_published_a,-182.75282969298502,-182.75282969298502,0.0,0.07700469029678929,,0.017908649565293307,0.6319748770756133,-0.5290717087379464,-2.209698776042313
money,uncomp_inside_published_a,-4.699600000000003,-4.699600000000003,0.0,0.07700469029678964,,0.0179086495652934,0.6319748770756135,-0.013605400291540925,-0.05682374595968886
money,fiscal_A_only_b,-237.48009160209602,-237.48009160209602,0.0,0.40000183468163536,,0.19999945598019797,0.20000110318489628,-7.677920528615233,-0.9087172030463839
money,TOTAL_b_pretax_wages,-262.6246719251766,-372.93677870428274,110.31210677910619,0.40416258082597056,0.9514343112006465,0.2764049118842945,-0.09616631865666365,-11.734615658406405,0.48320082250867313
money,fiscal_published_b,-182.75282969298456,-182.75282969298456,0.0,0.40000183468163264,,0.19999945598019522,0.20000110318489497,-5.90854455755097,-0.6993034200343647
money,uncomp_inside_published_b,-4.699600000000002,-4.699600000000002,0.0,0.4000018346816347,,0.19999945598019508,0.200001103184894,-0.1519418115129326,-0.017983012127990295
money,crime_equal_footing,-28.922885174626785,-28.922885174626785,0.0,0.5286506345062678,,0.32790220184055735,0.14943288379050806,-1.5331107780299311,-0.082690752083186
money,TOTAL_a_published_band,-218.73762897520731,-247.70598966879749,28.968360693590114,0.24081400571686795,0.8652959747628165,0.11302304660130279,0.32612528985272754,-3.996484201303269,-1.3648255033112555
money,TOTAL_b_published_band,-218.7376289752072,-278.1361813727808,59.39855239757405,0.4285915469546137,0.9774387601316495,0.2690701073980405,-0.044064941516383016,-9.514293461337708,0.18441058652837705
money,crime_tangible,-5.032871936321493,-5.032871936321493,0.0,0.5268783421047187,,0.326109127375516,0.15022091488127218,-0.2653178226118772,-0.01446489991970486
money,crime_intangible,-27.305228063678406,-27.305228063678406,0.0,0.5289773016437813,,0.3282326995069304,0.14928763469929285,-1.4488227049210662,-0.07798997772462975
money,crime_all_violent_key,-32.338100000000026,-32.338100000000026,0.0,0.4849496357210462,,0.2836887611294585,0.1688640711668739,-1.48301048278436,-0.10447705111643807
money,crime_dollar_brackets,-32.3380999999999,-32.3380999999999,0.0,0.5129950953179583,,0.31955447905453366,0.16789132270146895,-1.6705019979353573,-0.10387520674278686
money,crime_race_mix,-32.33810000000008,-32.33810000000008,0.0,0.5532346041788285,,0.35009587286230237,0.1393852214435663,-1.8301600929386348,-0.08623833835703637
money,wages_account_split,-0.15566955604601063,-76.28851785599672,76.13284829995058,0.2576816194091267,0.8015583813712289,27.87192532152254,-147.5250454408419,-0.701387863905227,0.4393782904828792
money,wages_eps3,3.405720575948518,-86.14594995699429,89.55167053294284,0.24670990645901755,0.8628645683358785,-1.6668706265928672,9.591091465424102,-0.917695278352367,0.6249513300627929
money,wages_short_run_pretax,24.2874125455574,-287.5893649124676,311.87677745802466,0.21185651659846685,0.8755668070250437,-0.4752669276929682,5.523881898153929,-1.865977636361327,2.566816281212414
money,renters_metro_local_low,-22.146225995032,-22.146225995032,0.0,0.4247789915955182,,0.23017586138325877,0.2070502983915784,-0.8240377260220113,-0.08772931513303035
money,landlords_intp_metro_local_low,24.447210970535338,0.0,24.447210970535338,,0.8930421796585333,0.012237728174261156,0.7783125155180355,0.048363498949069966,0.36404283290414785
money,landlords_scf_metro_local_low,24.447210970535465,0.0,24.447210970535465,,0.8680559586158314,0.020095133919976776,0.7566449220357021,0.07941596466117766,0.35390817368146715
money,landlords_mid_metro_local_low,24.447210970535316,0.0,24.447210970535316,,0.8805490691371821,0.016166431047118884,0.7674787187768677,0.06388973180512322,0.35897550329280575
money,owner_value_stock_metro_local_low,1263.8331911911669,0.0,1263.8331911911669,,0.6331027123716695,0.0990353262993992,0.4219331176415515,20.233335555332683,10.202404123747572
money,renters_national_uniform_low,-21.592985823170192,-21.592985823170192,0.0,0.45745403223180603,,0.25118006145060634,0.18557968547224746,-0.8767695378587139,-0.07666767352169801
money,landlords_intp_national_uniform_low,22.046128654135487,0.0,22.046128654135487,,0.8930421796585338,0.012237728174260928,0.7783125155180369,0.04361347890687324,0.32828837365103575
money,landlords_scf_national_uniform_low,22.046128654135455,0.0,22.046128654135455,,0.868055958615832,0.02009513391997684,0.7566449220357023,0.07161612734568122,0.3191490897728711
money,landlords_mid_national_uniform_low,22.046128654135426,0.0,22.046128654135426,,0.8805490691371828,0.01616643104711888,0.76747871877687,0.05761480312627712,0.3237187317119529
money,owner_value_stock_national_uniform_low,1232.3383946047823,0.0,1232.3383946047823,,0.6066696807593112,0.10246353880744809,0.39145812291197923,20.412063989384123,9.229633153767116
money,renters_metro_local_central,-33.85640156627451,-33.85640156627451,0.0,0.4246790205037033,,0.23015208090680914,0.20727466136342276,-1.2596308644763705,-0.13426294292242114
money,landlords_intp_metro_local_central,37.363984721864355,0.0,37.363984721864355,,0.8930421796585332,0.012237728174261152,0.7783125155180346,0.073916531337946,0.5563862014005816
money,landlords_scf_metro_local_central,37.36398472186442,0.0,37.36398472186442,,0.8680559586158305,0.020095133919976953,0.7566449220357003,0.12137568141612025,0.540896857736227
money,landlords_mid_metro_local_central,37.36398472186438,0.0,37.36398472186438,,0.8805490691371822,0.01616643104711889,0.7674787187768678,0.0976461063770321,0.5486415295684044
money,owner_value_stock_metro_local_central,1931.5696299857063,0.0,1931.5696299857063,,0.6332784952872199,0.09892285803236979,0.42216729277184134,30.888343204848507,15.601419074713737
money,renters_national_uniform_central,-33.474982367684675,-33.474982367684675,0.0,0.45745403223180714,,0.25118006145060706,0.18557968547224565,-1.3592304955273922,-0.11885568028096938
money,landlords_intp_national_uniform_central,34.18321208396375,0.0,34.18321208396375,,0.8930421796585335,0.012237728174261041,0.7783125155180358,0.06762406328031126,0.509021392248286
