measure,channel,decile,bn
spm,landlords_scf_national_uniform_central,9,4.515694861543606
spm,landlords_scf_national_uniform_central,10,21.34885898065691
spm,landlords_mid_national_uniform_central,1,0.2850547192195732
spm,landlords_mid_national_uniform_central,2,0.2675658219048684
spm,landlords_mid_national_uniform_central,3,0.4543787859422997
spm,landlords_mid_national_uniform_central,4,0.7436852885859896
spm,landlords_mid_national_uniform_central,5,1.0823078892367914
spm,landlords_mid_national_uniform_central,6,1.2502239984210535
spm,landlords_mid_national_uniform_central,7,1.4949029560836586
spm,landlords_mid_national_uniform_central,8,2.3702048106910247
spm,landlords_mid_national_uniform_central,9,4.169553117178589
spm,landlords_mid_national_uniform_central,10,22.065334696699807
spm,owner_value_stock_national_uniform_central,1,97.32946173127293
spm,owner_value_stock_national_uniform_central,2,98.42288985025066
spm,owner_value_stock_national_uniform_central,3,115.22161255294091
spm,owner_value_stock_national_uniform_central,4,130.49344863462596
spm,owner_value_stock_national_uniform_central,5,145.6997330809437
spm,owner_value_stock_national_uniform_central,6,164.2741554734304
spm,owner_value_stock_national_uniform_central,7,188.5557484560975
spm,owner_value_stock_national_uniform_central,8,222.59702868257168
spm,owner_value_stock_national_uniform_central,9,278.499954607474
spm,owner_value_stock_national_uniform_central,10,469.36459308994284
spm,renters_metro_local_high,1,-6.402859176559107
spm,renters_metro_local_high,2,-5.119961556584606
spm,renters_metro_local_high,3,-4.959593128861829
spm,renters_metro_local_high,4,-4.776232727951786
spm,renters_metro_local_high,5,-4.617549952156911
spm,renters_metro_local_high,6,-4.736248401394784
spm,renters_metro_local_high,7,-4.548883770283952
spm,renters_metro_local_high,8,-4.515570535760116
spm,renters_metro_local_high,9,-4.9568567462213675
spm,renters_metro_local_high,10,-5.433640095340875
spm,landlords_intp_metro_local_high,1,0.19997336494578175
spm,landlords_intp_metro_local_high,2,0.47598520847794795
spm,landlords_intp_metro_local_high,3,0.7935143749942928
spm,landlords_intp_metro_local_high,4,1.0952566346232253
spm,landlords_intp_metro_local_high,5,1.4403306366216455
spm,landlords_intp_metro_local_high,6,1.9028219154045871
spm,landlords_intp_metro_local_high,7,2.6383690174482504
spm,landlords_intp_metro_local_high,8,3.6987957730645675
spm,landlords_intp_metro_local_high,9,6.178135604863427
spm,landlords_intp_metro_local_high,10,36.81244321628861
spm,landlords_scf_metro_local_high,1,0.7212493539419326
spm,landlords_scf_metro_local_high,2,0.38871794259237497
spm,landlords_scf_metro_local_high,3,0.6749196917584649
spm,landlords_scf_metro_local_high,4,1.3081408092909115
spm,landlords_scf_metro_local_high,5,2.057406987670513
spm,landlords_scf_metro_local_high,6,2.137576904153109
spm,landlords_scf_metro_local_high,7,2.192768560091309
spm,landlords_scf_metro_local_high,8,3.961089760504207
spm,landlords_scf_metro_local_high,9,7.296775702236559
spm,landlords_scf_metro_local_high,10,34.49698003449301
spm,landlords_mid_metro_local_high,1,0.4606113594438576
spm,landlords_mid_metro_local_high,2,0.4323515755351601
spm,landlords_mid_metro_local_high,3,0.734217033376375
spm,landlords_mid_metro_local_high,4,1.2016987219570718
spm,landlords_mid_metro_local_high,5,1.7488688121460871
spm,landlords_mid_metro_local_high,6,2.0201994097788614
spm,landlords_mid_metro_local_high,7,2.415568788769781
spm,landlords_mid_metro_local_high,8,3.829942766784413
spm,landlords_mid_metro_local_high,9,6.737455653549978
spm,landlords_mid_metro_local_high,10,35.65471162539069
spm,owner_value_stock_metro_local_high,1,146.91522458317917
spm,owner_value_stock_metro_local_high,2,135.13400505397163
spm,owner_value_stock_metro_local_high,3,156.6536034195411
spm,owner_value_stock_metro_local_high,4,176.47191329341024
spm,owner_value_stock_metro_local_high,5,200.22394198700545
spm,owner_value_stock_metro_local_high,6,231.1674105600601
spm,owner_value_stock_metro_local_high,7,270.22212731794446
