year,crimeType,victim_race,rate,rateSE,rateLB,rateUB,count,countSE,countLB,countUB,sampleSizeUnwt,countFlag,rateFlag
1996,Personal theft/Larceny,Hispanic,2.7,0.76,1.22,4.18,55412,15651.0,24736.0,86087.0,20,0,0
1996,Personal theft/Larceny,Other,1.4,0.74,0.0,2.8,10677,5801.0,0.0,22046.0,5,1,1
1996,Personal theft/Larceny,White,1.3,0.23,0.88,1.79,218295,37923.0,143968.0,292622.0,87,0,0
1996,Rape/sexual assault,Black,1.9,0.55,0.77,2.95,47129,14146.0,19403.0,74856.0,15,0,0
1996,Rape/sexual assault,Hispanic,2.6,0.74,1.16,4.05,53407,15294.0,23431.0,83383.0,10,1,1
1996,Rape/sexual assault,Other,2.1,0.95,0.26,3.99,16652,7525.0,1904.0,31401.0,6,1,1
1996,Rape/sexual assault,White,2.0,0.3,1.37,2.54,320009,48943.0,224084.0,415935.0,92,0,0
1996,Robbery,Black,11.4,1.76,7.96,14.84,288727,45684.0,199188.0,378265.0,88,0,0
1996,Robbery,Hispanic,9.6,1.68,6.27,12.86,196110,35327.0,126871.0,265350.0,65,0,0
1996,Robbery,Other,12.1,2.73,6.76,17.44,94984,22030.0,51806.0,138162.0,22,0,0
1996,Robbery,White,5.2,0.58,4.04,6.3,845626,94655.0,660105.0,1031147.0,243,0,0
1996,Simple assault,Black,39.6,3.95,31.87,47.34,1003192,106426.0,794602.0,1211782.0,209,0,0
1996,Simple assault,Hispanic,40.5,4.27,32.11,48.84,829784,93437.0,646651.0,1012917.0,203,0,0
1996,Simple assault,Other,26.3,4.42,17.6,34.91,206072,36503.0,134527.0,277616.0,51,0,0
1996,Simple assault,White,44.5,2.5,39.61,49.42,7280580,413690.0,6469763.0,8091398.0,1881,0,0
1996,Violent crime excluding simple assault,Black,30.2,3.31,23.72,36.7,765232,88398.0,591976.0,938489.0,208,0,0
1996,Violent crime excluding simple assault,Hispanic,28.1,3.37,21.47,34.69,575652,72789.0,432988.0,718315.0,162,0,0
1996,Violent crime excluding simple assault,Other,24.0,4.18,15.85,32.24,188761,34448.0,121245.0,256277.0,52,0,0
1996,Violent crime excluding simple assault,White,19.6,1.44,16.81,22.45,3210246,236973.0,2745787.0,3674705.0,855,0,0
1996,Violent victimization,Black,69.8,5.66,58.71,80.91,1768425,157210.0,1460299.0,2076550.0,417,0,0
1996,Violent victimization,Hispanic,68.5,5.96,56.87,80.23,1405436,134199.0,1142411.0,1668461.0,365,0,0
1996,Violent victimization,Other,50.3,6.62,37.33,63.27,394833,56374.0,284342.0,505324.0,103,0,0
1996,Violent victimization,White,64.1,3.18,57.91,70.38,10490827,527581.0,9456788.0,11524865.0,2736,0,0
