DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_CRIME,SEX,AGE,CITIZENSHIP,COUNTRY_CITIZEN,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_CRIME,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_COUNTRY_CITIZEN,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y18-24,ITL,WORLD,2024,73,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y18-24,TOTAL,WORLD,2022,157,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y18-24,TOTAL,WORLD,2023,174,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y18-24,TOTAL,WORLD,2024,170,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y25-34,FRG,WORLD,2022,107,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y25-34,FRG,WORLD,2023,145,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y25-34,FRG,WORLD,2024,160,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y25-34,ITL,WORLD,2022,155,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y25-34,ITL,WORLD,2023,167,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y25-34,ITL,WORLD,2024,136,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y25-34,TOTAL,WORLD,2022,262,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
